branch,checkpoint_step,cumulative_step,prompt_epoch,score_cmd_f1_x100,next_action_score,first_cmd_exact_pct,valid_json_pct,early_f1_x100,mid_f1_x100,late_f1_x100,file
parentrun,980,980,1.3066666666666666,52.2,51.9,51.2,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-980.json
parentrun,990,990,1.32,51.66,51.4,50.8,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-990.json
parentrun,1000,1000,1.3333333333333333,51.78,51.1,49.5,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1000.json
parentrun,1010,1010,1.3466666666666667,51.79,51.19,49.8,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1010.json
parentrun,1020,1020,1.36,51.91,50.59,47.5,76.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1020.json
parentrun,1030,1030,1.3733333333333333,53.2,52.48,50.8,77.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1030.json
parentrun,1040,1040,1.3866666666666667,52.72,52.35,51.5,77.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1040.json
parentrun,1050,1050,1.4,52.08,51.31,49.5,77.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1050.json
parentrun,1060,1060,1.4133333333333333,51.76,51.17,49.8,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1060.json
parentrun,1070,1070,1.4266666666666667,51.7,51.73,51.8,74.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1070.json
parentrun,1080,1080,1.44,52.9,52.18,50.5,77.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1080.json
parentrun,1090,1090,1.4533333333333334,51.24,51.02,50.5,74.3,,,,lfm25-echo-rlvr-parentrun-checkpoint-1090.json
parentrun,1100,1100,1.4666666666666666,51.83,51.82,51.8,77.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1100.json
parentrun,1110,1110,1.48,51.57,51.04,49.8,77.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1110.json
parentrun,1120,1120,1.4933333333333334,51.64,51.21,50.2,74.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1120.json
parentrun,1130,1130,1.5066666666666666,52.94,53.2,53.8,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1130.json
parentrun,1140,1140,1.52,52.66,52.4,51.8,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1140.json
parentrun,1150,1150,1.5333333333333334,51.88,51.77,51.5,75.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1150.json
parentrun,1160,1160,1.5466666666666666,50.77,49.91,47.9,73.3,,,,lfm25-echo-rlvr-parentrun-checkpoint-1160.json
parentrun,1170,1170,1.56,51.76,51.29,50.2,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1170.json
parentrun,1180,1180,1.5733333333333333,51.56,51.93,52.8,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1180.json
parentrun,1190,1190,1.5866666666666667,50.56,50.45,50.2,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1190.json
parentrun,1200,1200,1.6,51.48,51.58,51.8,74.3,,,,lfm25-echo-rlvr-parentrun-checkpoint-1200.json
parentrun,1210,1210,1.6133333333333333,52.12,51.63,50.5,72.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1210.json
parentrun,1220,1220,1.6266666666666667,51.69,51.81,52.1,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1220.json
parentrun,1230,1230,1.64,50.52,50.21,49.5,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1230.json
parentrun,1240,1240,1.6533333333333333,51.87,51.07,49.2,73.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1240.json
parentrun,1250,1250,1.6666666666666667,50.5,50.71,51.2,74.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1250.json
parentrun,1260,1260,1.68,50.73,50.57,50.2,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1260.json
parentrun,1270,1270,1.6933333333333334,51.66,51.01,49.5,74.3,,,,lfm25-echo-rlvr-parentrun-checkpoint-1270.json
parentrun,1280,1280,1.7066666666666668,51.26,50.73,49.5,74.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1280.json
parentrun,1290,1290,1.72,51.72,51.44,50.8,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1290.json
parentrun,1300,1300,1.7333333333333334,51.05,51.09,51.2,78.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1300.json
parentrun,1310,1310,1.7466666666666666,51.19,51.19,51.2,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1310.json
parentrun,1320,1320,1.76,52.19,51.59,50.2,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1320.json
parentrun,1330,1330,1.7733333333333334,49.28,49.05,48.5,73.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1330.json
parentrun,1340,1340,1.7866666666666666,50.19,50.07,49.8,76.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1340.json
parentrun,1350,1350,1.8,49.59,49.26,48.5,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1350.json
parentrun,1360,1360,1.8133333333333332,50.93,50.41,49.2,76.6,,,,lfm25-echo-rlvr-parentrun-checkpoint-1360.json
parentrun,1370,1370,1.8266666666666667,51.18,50.08,47.5,75.2,,,,lfm25-echo-rlvr-parentrun-checkpoint-1370.json
parentrun,1380,1380,1.84,51.65,51.09,49.8,74.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1380.json
parentrun,1390,1390,1.8533333333333333,51.36,50.89,49.8,75.9,,,,lfm25-echo-rlvr-parentrun-checkpoint-1390.json
